country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-03,0.30705423508170343,NA,NA,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-04,0.23591867552180476,NA,NA,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-05,0.19996741915380425,NA,NA,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-06,0.19638211903000496,0.7626273628101453,0.003335632787911055,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-07,0.23056631996903618,0.9294399582030206,0.002846074948236759,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-08,0.31447858407039403,1.2427937256445265,0.004614423280773588,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-09,0.4754148704497437,1.763112322517609,0.011572022724245382,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-10,0.7639259728986801,2.5700872511576316,0.035768999423180195,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-11,1.2285615307012028,3.6814628968856336,0.10739824742970494,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-12,1.9156530185669212,5.037296323253695,0.2913927775145734,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-13,2.794114075953847,6.413299956585831,0.6678492965229527,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-14,3.638654960655382,7.379664433058923,1.210306612235598,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-15,4.286172716330635,7.783911604413488,1.8231011334200369,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-16,4.757496083100069,7.821695616143762,2.4478605061311365,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-17,5.0728481866126165,7.652410303142709,3.018098996263558,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-18,5.134115289953177,7.229142571157172,3.393642977109872,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-19,4.873394689395729,6.515018868809607,3.467347379996835,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-20,4.380800215238108,5.636476099267283,3.2814950356167802,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-21,3.810030598361639,4.765385872755591,2.9602672111972073,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-22,3.3658682981266423,4.110887602336167,2.6944230168296133,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-23,3.12801063379503,3.7354170063176277,2.5738311080868628,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-24,3.0599791259405507,3.5765548686871633,2.5831869286169766,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-25,3.076184216395772,3.5261934670702786,2.656503019106596,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-26,3.113626490280561,3.542587622557674,2.684665358003448,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-27,3.1604077212469313,3.546331740875564,2.7744837016182986,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-28,3.2055024943782935,3.517012247282512,2.893992741474075,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-29,3.214193442692815,3.4835994590023542,2.944787426383276,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-03-01,3.1369958426641507,3.3923013490102707,2.8816903363180306,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-03-02,2.957264538902133,3.202026195911409,2.712502881892857,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-03-03,2.7097640347130776,2.9669502439219118,2.4525778255042434,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-03-04,2.4633095702607246,2.7441153444945936,2.1825037960268556,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-03-05,2.2662804558486296,2.5481545377621977,1.9844063739350617,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-03-06,2.127382504929946,2.391654256856154,1.8631107530037383,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-03-07,2.0389011417206944,2.2853613294938344,1.7924409539475543,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-03-08,1.992594566099005,2.2154514372915677,1.7697376949064423,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-03-09,1.980775673867557,2.1727423921965396,1.7888089555385744,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-03-10,1.9906237054581029,2.1768654153492863,1.8043819955669194,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-03-11,2.0016764827134144,2.213122006334477,1.7902309590923517,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-03-12,1.998686112529527,2.224475932772492,1.7728962922865616,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-03-13,1.9768085166523905,2.188352228186595,1.7652648051181858,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-03-14,1.9415940152740585,2.1260934095659523,1.7570946209821645,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-03-15,1.899328606508311,2.062531669276058,1.736125543740564,GBR
