country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-02-27,2.390001215237928,2.615411536948506,2.1645908935273503,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-02-28,2.25348422987194,2.478494054509527,2.028474405234353,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-02-29,2.1531494805954514,2.38057118378486,1.9257277774060426,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-01,2.0699252149552665,2.2849021273556835,1.8549483025548492,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-02,1.997508219501847,2.188486796465604,1.8065296425380901,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-03,1.936333107007072,2.1043847937050857,1.7682814203090584,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-04,1.885548226978251,2.033823063242989,1.7372733907135132,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-05,1.8409494750432458,1.9698713555134737,1.712027594573018,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-06,1.7975917130231203,1.9141921718458794,1.680991254200361,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-07,1.7466583327408787,1.8634180354509926,1.6298986300307647,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-08,1.6826949980872676,1.8023658746108322,1.563024121563703,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-09,1.6094256418798627,1.728318574157538,1.4905327096021874,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-10,1.5351415151377186,1.6522944774860904,1.4179885527893468,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-11,1.4635755179857093,1.5785315953151193,1.3486194406562992,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-12,1.392520502832354,1.5019949726356083,1.2830460330290996,ITA
